symbol,entry_time,exit_time,entry_price,exit_price,shares,pnl,pnl_pct,exit_reason,strategy,risk_pct,sl_pct,tp_pct,timeframe,hold_time_minutes
PLUG,2024-10-25 14:33:00+00:00,2024-10-25 17:17:00+00:00,2.23,2.1854,2233,-99.59179999999994,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,164.0
PLUG,2024-11-06 15:30:00+00:00,2024-11-06 16:02:00+00:00,1.975,1.9355,2518,-99.46100000000023,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,32.0
PLUG,2024-11-07 15:33:00+00:00,2024-11-07 15:59:00+00:00,2.005,2.055125,2478,124.20974999999994,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,26.0
PLUG,2024-11-12 15:33:00+00:00,2024-11-12 16:23:00+00:00,1.845,1.8081,2697,-99.51929999999982,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,50.0
PLUG,2024-11-14 15:31:00+00:00,2024-11-14 16:04:00+00:00,1.92,1.8816,2589,-99.41759999999998,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,33.0
PLUG,2024-11-19 14:55:00+00:00,2024-11-19 15:08:00+00:00,1.99,2.0397499999999997,2495,124.12624999999935,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,13.0
PLUG,2024-11-25 15:34:00+00:00,2024-11-25 16:33:00+00:00,2.095,2.147375,2373,124.2858749999991,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,59.0
PLUG,2024-11-27 14:42:00+00:00,2024-11-27 15:59:00+00:00,2.23,2.1854,2232,-99.54719999999995,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,77.0
PLUG,2024-12-05 15:35:00+00:00,2024-12-05 15:53:00+00:00,2.085,2.1371249999999997,2385,124.31812499999941,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,18.0
PLUG,2024-12-06 15:33:00+00:00,2024-12-06 16:03:00+00:00,2.485,2.4353,2003,-99.54910000000015,-2.0000000000000018,stop_loss,GapAndGo,5.0,2.0,2.5,1m,30.0
PLUG,2024-12-09 14:39:00+00:00,2024-12-09 14:41:00+00:00,2.585,2.649625,1924,124.33849999999987,2.499999999999991,take_profit,GapAndGo,5.0,2.0,2.5,1m,2.0
